id,color,shape,area,perimeter,x,y,width,height,cx,cy,aspect_ratio
1,Other,Circle,951.5,129.36,762,695,49,25,785,708,1.96
2,Other,Rectangle,980.5,137.36,648,694,52,26,677,708,2.0
3,Red,Rectangle,867.0,132.08,157,694,52,26,185,709,2.0
4,Other,Circle,1368.0,147.25,538,686,51,34,563,704,1.5
5,Other,Circle,1867.5,164.81,929,676,53,44,954,699,1.2
6,Other,Circle,2014.0,170.02,814,670,54,50,839,694,1.08
7,Other,Circle,1954.5,165.78,220,670,51,50,245,695,1.02
8,Other,Circle,1708.0,157.2,130,668,53,44,154,687,1.2
9,Other,Circle,1592.0,149.54,620,664,46,46,642,686,1.0
10,Other,Circle,1758.5,157.78,378,664,52,45,402,686,1.16
11,Other,Circle,2272.5,179.92,1026,654,53,57,1051,680,0.93
12,Other,Circle,2080.0,170.37,268,652,52,51,293,676,1.02
13,Other,Circle,1839.0,161.2,884,651,49,50,908,675,0.98
14,Other,Circle,1951.5,167.44,498,650,51,52,523,676,0.98
15,Other,Circle,1545.0,147.54,663,646,46,45,686,667,1.02
16,Other,Circle,1923.0,168.37,833,628,55,47,860,649,1.17
17,Other,Circle,1950.0,165.68,190,628,52,51,215,653,1.02
18,Other,Circle,4089.5,325.66,433,626,69,94,467,673,0.73
19,Other,Circle,1743.0,156.37,537,616,49,47,561,638,1.04
20,Other,Circle,2327.0,181.68,748,614,56,55,775,640,1.02
21,Other,Circle,2093.5,171.78,391,614,55,49,418,638,1.12
22,Other,Circle,2201.5,178.27,128,614,59,50,157,639,1.18
23,Other,Circle,2053.5,170.27,629,601,51,54,653,627,0.94
24,Other,Circle,1958.0,165.54,1030,599,50,50,1055,623,1.0
25,Other,Circle,2030.5,168.12,272,598,51,50,296,623,1.02
26,Other,Circle,1851.0,162.85,218,590,51,50,244,613,1.02
27,Other,Circle,1551.5,151.3,458,582,49,43,482,603,1.14
28,Other,Circle,1586.5,149.3,835,579,47,44,857,601,1.07
29,Other,Circle,1647.0,152.37,577,571,47,47,600,594,1.0
30,Other,Circle,2184.0,174.85,335,571,54,53,361,597,1.02
31,Other,Circle,1834.0,159.54,764,564,49,48,788,587,1.02
32,Other,Circle,1749.5,156.61,941,563,47,50,963,587,0.94
33,Other,Circle,1711.0,161.68,878,563,53,48,903,586,1.1
34,Other,Circle,1902.5,162.61,672,563,50,50,696,587,1.0
35,Other,Circle,1517.0,145.88,492,549,42,47,512,571,0.89
36,Other,Circle,1348.5,137.3,434,546,41,44,453,567,0.93
37,Other,Circle,1704.0,154.37,537,539,47,48,559,562,0.98
38,Other,Circle,1895.0,164.02,1,535,48,53,25,560,0.91
39,Other,Circle,1948.0,165.2,716,527,51,50,740,551,1.02
40,Other,Circle,1586.0,149.54,829,522,47,45,852,544,1.04
41,Other,Circle,1922.5,164.61,892,517,52,49,917,541,1.06
42,Other,Circle,2103.0,172.02,308,515,53,52,333,540,1.02
43,Other,Circle,2063.5,170.27,580,510,52,53,605,536,0.98
44,Other,Circle,2097.5,172.27,456,506,57,49,483,528,1.16
45,Other,Circle,1666.0,154.37,408,500,45,50,430,524,0.9
46,Other,Circle,1851.5,167.44,26,500,57,46,54,522,1.24
47,Other,Circle,1926.0,164.37,663,485,48,52,687,510,0.92
48,Other,Circle,2457.5,185.92,530,478,56,58,557,506,0.97
49,Other,Circle,1782.0,168.85,863,477,47,57,884,502,0.82
50,Other,Circle,1972.0,166.37,360,477,50,51,384,501,0.98
51,Other,Circle,1771.5,158.95,816,467,45,52,838,492,0.87
52,Other,Circle,2562.5,189.92,281,460,61,55,311,486,1.11
53,Other,Circle,2473.5,195.1,37,455,69,49,71,479,1.41
54,Other,Circle,2193.0,178.51,748,452,55,55,774,479,1.0
55,Other,Circle,2079.5,172.61,453,448,52,53,478,474,0.98
56,Other,Circle,2117.0,174.85,222,437,59,48,250,460,1.23
57,Other,Circle,1997.0,168.85,696,435,54,50,723,459,1.08
